Model,Fuel Type,Mileage,Owner,Location,Price
Skoda Rapid (2015),DIESEL,52000.0 KM,1st,"Chinar Forune City, Bhopal","₹ 6,50,000"
Tata Tiago (2018),DIESEL,39000.0 KM,1st,"Old Palasiya, Indore","₹ 5,21,000"
Other Brands Others (2010),DIESEL,"35,000 KM",1st,"Gupta Colony, Jabalpur","₹ 80,000"
Renault Triber (2020),PETROL,"6,862 KM",1st,"Shiv Lok, Bhopal","₹ 6,25,000"
Toyota Innova (2014),DIESEL,"105,000 KM",2nd,"Amaiya Colony, Rewa","₹ 8,10,000"
Hyundai I10 (2011),PETROL,"40,000 KM",2nd,"Shivaji Nagar, Jabalpur","₹ 1,99,000"
Maruti Suzuki Omni (2008),LPG,"89,000 KM",2nd,"Khitura, Sihora","₹ 75,000"
Skoda Superb (2014),PETROL,"47,000 KM",1st,"Arera Colony, Bhopal","₹ 11,00,000"
Mahindra Bolero Pik-Up (2016),DIESEL,"65,000 KM",1st,"Bardia, Petlawad","₹ 6,50,000"
Ford Ecosport (2015),DIESEL,"90,000 KM",1st,"Sadar Bazar, Betul","₹ 5,60,000"
Maruti Suzuki Sx4 (2011),DIESEL,"92,000 KM",2nd,"Kamla Nagar, Shahdol","₹ 2,00,000"
Hyundai Others (2005),PETROL,20 KM,2nd,"Bhimakheda, Mahidpur","₹ 1,15,000"
Tata Indigo Cs (2010),DIESEL,"75,000 KM",2nd,"Dudhichua Colony, Vindhya Nagar NTPC Township","₹ 1,30,000"
Other Brands Others (2018),DIESEL,"12,006 KM",1st,Hanumana,"₹ 3,00,000"
Maruti Suzuki 800 (2007),PETROL,"72,500 KM",2nd,"Sarswati Nagar, Indore","₹ 65,000"
Tata Indica Vista (2011),DIESEL,"70,000 KM",2nd,"Madhavganj, Vidisha","₹ 1,90,000"
Bmw 5 Series (2010),DIESEL,"90,000 KM",2nd,"MP Nagar, Bhopal","₹ 8,00,000"
Maruti Suzuki Ertiga (2018),DIESEL,52000.0 KM,1st,"Jabalpur Nagar Nigam, Jabalpur","₹ 8,75,000"
Skoda Octavia (2015),DIESEL,97000.0 KM,1st,"Chinar Forune City, Bhopal","₹ 10,60,000"
Ford Ecosport (2013),DIESEL,58000.0 KM,1st,"Narila Shankari Durgesh Vihar Colony, Bhopal","₹ 4,90,000"
Maruti Suzuki Alto (2005),PETROL,20 KM,3rd,"Chhola, Bhopal","₹ 75,000"
Tata Winger (2020),DIESEL,18 KM,1st,"Rasuliya, Hoshangabad","₹ 10,00,000"
Mahindra Renault Logan (2008),PETROL,"65,000 KM",3rd,"Chandra Nagar, Indore","₹ 1,75,000"
Tata Nano (2012),PETROL,25 KM,4th,"Adhinath Colony, Ujjain","₹ 65,000"
Ford Ecosport (2021),DIESEL,"2,700 KM",1st,"Haripura, Vidisha","₹ 11,50,000"
Bajaj Others (2012),DIESEL,0 KM,1st,"Basant Colony, Chhindwara","₹ 90,000"
Hyundai Grand I10 (2016),DIESEL,"90,000 KM",1st,"Pardeshipura Colony, Indore","₹ 4,50,000"
Hyundai I20 (2014),DIESEL,"65,000 KM",3rd,"Nimanwas, Ujjain","₹ 5,00,000"
Hyundai I10 (2008),PETROL,"60,000 KM",2nd,"Semra Kalan, Bhopal","₹ 1,95,000"
Ford Ecosport (2013),DIESEL,"76,000 KM",2nd,"Housing Colony, Bhind","₹ 4,50,000"
Ford Figo Aspire (2015),DIESEL,"75,000 KM",2nd,"Vaikunth Nagar, Khandwa","₹ 4,60,000"
Hyundai Grand I 10 (2017),DIESEL,"40,000 KM",1st,"Madan Mahal, Jabalpur","₹ 4,50,000"
Chevrolet Aveo U-Va (2008),LPG,"82,600 KM",3rd,"Bartan Bazar, Indore","₹ 1,10,000"
Ford Figo (2011),DIESEL,"99,000 KM",2nd,"Amaoni, Sagar","₹ 1,85,000"
Bajaj Others (2006),PETROL,"235,482 KM",2nd,"Housing Colony, Pithampur","₹ 45,000"
Maruti Suzuki Baleno (2019),DIESEL,31000.0 KM,1st,"Madan Mahal, Jabalpur","₹ 7,00,000"
Mahindra Xuv500 (2013),DIESEL,62000.0 KM,2nd,"Narila Shankari Durgesh Vihar Colony, Bhopal","₹ 6,75,000"
Datsun Redi Go (2017),PETROL,"51,000 KM",1st,"Prem Nagar, Balaghat","₹ 2,30,000"
Maruti Suzuki Wagon R (2006),PETROL,"65,000 KM",2nd,"Gopal Ganj, Sagar","₹ 1,30,000"
Maruti Suzuki Omni (2017),LPG,"50,000 KM",2nd,"Multanpura, Biaora","₹ 3,00,000"
Tata Indigo Ecs (2011),DIESEL,"76,000 KM",2nd,"Irrigation Colony, Sagar","₹ 1,55,000"
Tata Manza (2011),PETROL,"77,745 KM",2nd,"MP Nagar, Chhatarpur","₹ 2,40,000"
Maruti Suzuki Gypsy (2005),PETROL,"80,000 KM",2nd,"Vallabh Ganj, Pachmarhi","₹ 3,00,000"
Mahindra Xylo (2009),DIESEL,"162,000 KM",3rd,"Katiyaghat, Jabalpur","₹ 2,90,000"
Maruti Suzuki Omni (2002),PETROL,"70,000 KM",2nd,"Durga Nagar, Vidisha","₹ 80,000"
Hyundai Grand I10 (2016),PETROL,"32,000 KM",2nd,"Patandev, Raisen","₹ 5,00,000"
Maruti Suzuki Eeco (2011),PETROL,"90,000 KM",2nd,Barigarh,"₹ 2,40,000"
Ford Figo Aspire (2018),DIESEL,"56,000 KM",1st,"Bararipura, Chhindwara","₹ 3,70,000"
Hyundai Elite I20 (2017),DIESEL,"54,100 KM",1st,"Koh E Fiza, Bhopal","₹ 6,60,000"
Honda Brio (2014),PETROL,35000.0 KM,1st,"Palsikar Colony, Indore","₹ 3,75,000"
Maruti Suzuki Swift Dzire (2018),PETROL,65000.0 KM,1st,"Vijay Nagar, Indore","₹ 7,10,000"
Maruti Suzuki Swift (2009),DIESEL,"98,000 KM",4+,"Chaudhary Colony, Mandsaur","₹ 2,41,000"
Maruti Suzuki Swift (2009),DIESEL,"111,000 KM",3rd,"Ganj Area, Seoni","₹ 2,00,000"
Mahindra Xuv500 (2012),DIESEL,"110,000 KM",2nd,"Maksi Industrial Area, Maksi","₹ 7,50,000"
Toyota Qualis (2004),DIESEL,"156,000 KM",3rd,"Old Upadhyay Nagar, Raisen","₹ 1,30,000"
Maruti Suzuki Ritz (2016),CNG & HYBRIDS,"72,000 KM",1st,"Koh E Fiza, Bhopal","₹ 3,30,000"
Maruti Suzuki Wagon R (2008),PETROL,"75,000 KM",2nd,"Pipliyhana, Indore","₹ 1,65,000"
Skoda Octavia (2008),DIESEL,"175,000 KM",3rd,"Panjabi Colony, Shamgarh","₹ 1,30,000"
Hyundai I10 (2014),PETROL,54000.0 KM,2nd,"New Market tt Nagar, Bhopal","₹ 3,20,000"
Maruti Suzuki Alto 800 (2021),PETROL,"5,500 KM",1st,"Babu Kheda, Piplya Mandi","₹ 3,90,000"
Other Brands Others (2016),DIESEL,"90,000 KM",2nd,"Itwara, Burhanpur","₹ 7,20,000"
Mahindra Scorpio (2008),DIESEL,"110,000 KM",1st,"AB Bypass Road, Indore","₹ 4,25,000"
Maruti Suzuki Ciaz (2015),DIESEL,"45,000 KM",1st,"Bapu Gandhi Nagar, Indore","₹ 6,00,000"
Maruti Suzuki 800 (2002),PETROL,"7,000 KM",2nd,"Soni Colony, Guna","₹ 65,000"
Hyundai Eon (2013),PETROL,37150.0 KM,1st,"Vijay Nagar, Indore","₹ 2,61,000"
Tata Others (2016),DIESEL,20 KM,1st,"Khitura, Sihora","₹ 3,50,000"
Maruti Suzuki Alto (2007),PETROL,"103,361 KM",2nd,"Police Line, Vidisha","₹ 1,00,000"
Hyundai I20 (2016),PETROL,23226.0 KM,1st,"Shalimar Township, Indore","₹ 6,11,000"
Toyota Innova Crysta (2016),DIESEL,"100,000 KM",3rd,"Piplya Kumar, Indore","₹ 12,50,000"
Hyundai Santro Xing (2014),PETROL,44000.0 KM,1st,"Jabalpur Ho, Jabalpur","₹ 2,75,000"
Tata Indica (2002),DIESEL,"100,000 KM",1st,Rehli,"₹ 1,10,000"
Mahindra E2o Plus (2010),DIESEL,18 KM,3rd,"Barnagar, Badnagar","₹ 3,80,000"
Ford Figo (2012),DIESEL,"120,000 KM",3rd,"Civil Lines Colony, Baihar","₹ 2,20,000"
Honda City Zx (2007),PETROL,"150,000 KM",3rd,"Chippa Bakhal, Indore","₹ 1,20,000"
Mahindra Xuv500 (2012),DIESEL,20 KM,2nd,"Katra Bazaar, Sagar","₹ 5,21,000"
Tata Others (2018),DIESEL,"11,000 KM",1st,"Ward No 6, Patharia","₹ 2,00,000"
Maruti Suzuki Swift Dzire (2018),DIESEL,"45,000 KM",1st,"Maharana Pratap Ward 1, Pipariya","₹ 6,40,000"
Maruti Suzuki Swift Dzire (2017),DIESEL,"52,000 KM",2nd,"Pandiakheri, Ujjain","₹ 5,75,000"
Tata Indica Vista (2010),DIESEL,"170,000 KM",2nd,"Old Upadhyay Nagar, Raisen","₹ 1,50,000"
Mahindra Verito (2014),DIESEL,"590,000 KM",2nd,"Sector 1, Pithampur","₹ 3,00,000"
Hyundai Verna (2013),DIESEL,"680,000 KM",2nd,"Baghana, Neemuch","₹ 4,90,000"
Mahindra Bolero (2015),DIESEL,"90,000 KM",1st,"Galla Mandi, Lahar","₹ 5,50,000"
Ford Ecosport (2013),DIESEL,"83,000 KM",2nd,"Maharana Pratap Ward 1, Pipariya","₹ 5,00,000"
Tata Others (2013),DIESEL,"5,000 KM",2nd,"Kalpna Nagar, Bhopal","₹ 5,00,000"
Skoda Laura (2012),DIESEL,60000.0 KM,2nd,"Palsikar Colony, Indore","₹ 4,50,000"
Mahindra Xuv500 (2017),DIESEL,40000.0 KM,2nd,"Palsikar Colony, Indore","₹ 10,75,000"
Ford Figo (2013),DIESEL,66000.0 KM,1st,"Chinar Forune City, Bhopal","₹ 2,90,000"
Maruti Suzuki Swift Dzire (2018),DIESEL,"64,000 KM",1st,"Padri, Vindhya Nagar NTPC Township","₹ 5,70,000"
Maruti Suzuki Omni (2011),LPG,250 KM,2nd,"Nieadi, Niwari","₹ 1,10,000"
Honda City (2000),PETROL,"10,000 KM",3rd,"Janta Colony, Chhindwara","₹ 70,000"
Tata Indica Vista (2010),DIESEL,"85,000 KM",1st,"Chhaonl, Karera","₹ 1,85,000"
Other Brands Others (2021),DIESEL,111 KM,1st,"Patvatola, Sironj","₹ 3,70,000"
Maruti Suzuki Alto (2008),PETROL,25 KM,2nd,"Birha, Pawai","₹ 1,30,000"
Maruti Suzuki Swift Dzire (2015),PETROL,39000.0 KM,1st,"Bhawarkua, Indore","₹ 5,25,000"
Other Brands Others (2021),DIESEL,111 KM,1st,"Chandani Chowk, Sironj","₹ 3,70,000"
Maruti Suzuki Swift Dzire (2012),DIESEL,"108,000 KM",2nd,"Sadhana Nagar, Indore","₹ 3,75,000"
Mahindra Bolero (2016),DIESEL,"18,700 KM",1st,"Bajrang Nagar, Rewa","₹ 8,80,000"
Maruti Suzuki Omni (2010),PETROL,15 KM,2nd,"Ranjhi, Jabalpur","₹ 1,30,000"
Hyundai Santro (2003),PETROL,18 KM,2nd,"Kherwa Tola, Nagod","₹ 95,000"
Mahindra Xylo (2012),DIESEL,14 KM,3rd,"Harri, Mandideep","₹ 3,10,000"
Maruti Suzuki Swift Dzire (2009),DIESEL,20 KM,2nd,"Tawa Colony, Seoni Malwa","₹ 2,25,000"
Ford Endeavour (2017),DIESEL,57000.0 KM,1st,"Transport Nagar, Indore","₹ 27,00,000"
Ford Freestyle (2018),PETROL,22000.0 KM,1st,"Narila Shankari Durgesh Vihar Colony, Bhopal","₹ 5,50,000"
Mahindra Xuv500 (2017),DIESEL,64071.0 KM,1st,"Ganesh Nagar, Bhopal","₹ 12,10,000"
Mahindra Scorpio (2007),DIESEL,12 KM,4+,"Gotegaon, Chhota Chhindwara","₹ 2,00,000"
Hyundai I10 (2008),PETROL,"60,000 KM",2nd,"Semra Kalan, Bhopal","₹ 1,95,000"
Toyota Innova (2008),DIESEL,100000.0 KM,1st,"Ram Nagar, Dewas","₹ 3,50,000"
Maruti Suzuki Swift Dzire (2015),DIESEL,"80,000 KM",2nd,"Krishna Nagar Colony, Shujalpur","₹ 4,50,000"
Hyundai I20 Active (2015),DIESEL,"145,000 KM",1st,"Sanjeev Nagar, Bhopal","₹ 5,50,000"
